id,card_name,card_type,provider,annual_fee_domestic,annual_fee_global,image_url
64,신한카드 Pick E 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/BGND7S_E5_v_f_d.webp
65,신한카드 Pick I 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/BGOD89_E5_h_f_d.webp
66,신한카드 Point Plan 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/POBDHM_00_h_f_d.webp
67,신한카드 플리(체크),체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/PLBCXR_R1_v_f_d.webp
68,신한카드 Way 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/BGKCSJ_E5_v_f_d.webp
69,신한카드 On 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/BGJCS5_E5_v_f_d.webp
70,신한카드 Hey Young 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/BGGC7Q_E5_v_f_d.webp
71,신한 슈퍼SOL 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/AOAC7S_00_h_f_d.webp
72,전통시장사랑 체크 신한카드,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/BAAAYR_00_h_f_d.webp
73,신한카드 주거래 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/AWBAV9_00_h_f_d.webp
74,신한카드 하이패스(전용) 체크,체크,신한카드,0,0,https://www.shinhancard.com/pconts/static/images/card/plate/CAHAO9_00_h_f_d.webp
